wind(m/s),    lat,     lon
    1.94,   23.46,  276.71
    1.99,   23.46,  276.75
    2.04,   23.46,  276.79
    2.08,   23.46,  276.82
    2.13,   23.46,  276.86
    2.18,   23.46,  276.90
    2.22,   23.46,  276.94
    2.27,   23.46,  276.98
    2.32,   23.45,  277.01
    2.37,   23.45,  277.05
    2.42,   23.45,  277.09
    2.47,   23.45,  277.13
    2.53,   23.45,  277.17
    2.58,   23.45,  277.20
    2.63,   23.45,  277.24
    2.68,   23.45,  277.28
    2.74,   23.44,  277.32
    2.79,   23.44,  277.36
    2.85,   23.44,  277.39
    2.90,   23.44,  277.43
    2.96,   23.44,  277.47
    3.02,   23.44,  277.51
    3.07,   23.43,  277.54
    3.13,   23.43,  277.58
    3.19,   23.43,  277.62
    3.25,   23.43,  277.66
    3.31,   23.43,  277.70
    3.37,   23.43,  277.73
    3.43,   23.43,  277.77
    3.49,   23.42,  277.81
    3.55,   23.42,  277.85
    3.61,   23.42,  277.89
    3.67,   23.42,  277.92
    3.73,   23.42,  277.96
    3.80,   23.42,  278.00
    3.86,   23.41,  278.04
    3.92,   23.41,  278.07
    3.98,   23.41,  278.11
    4.05,   23.41,  278.15
    4.11,   23.41,  278.19
    4.17,   23.40,  278.23
    4.24,   23.40,  278.26
    4.30,   23.40,  278.30
    4.37,   23.40,  278.34
    4.43,   23.40,  278.38
    4.49,   23.40,  278.41
    4.56,   23.39,  278.45
    4.62,   23.39,  278.49
    4.68,   23.39,  278.53
    4.75,   23.39,  278.57
    4.81,   23.39,  278.60
    4.87,   23.38,  278.64
    4.93,   23.38,  278.68
    5.00,   23.38,  278.72
    5.06,   23.38,  278.76
    5.12,   23.38,  278.79
    5.18,   23.37,  278.83
    5.23,   23.37,  278.87
    5.29,   23.37,  278.91
    5.35,   23.37,  278.94
    5.41,   23.36,  278.98
    5.47,   23.36,  279.02
    5.52,   23.36,  279.06
    5.58,   23.36,  279.10
    5.63,   23.36,  279.13
    5.69,   23.35,  279.17
    5.74,   23.35,  279.21
    5.79,   23.35,  279.25
    5.84,   23.35,  279.28
    5.89,   23.34,  279.32
    5.94,   23.34,  279.36
    5.99,   23.34,  279.40
    6.04,   23.34,  279.44
    6.09,   23.34,  279.47
    6.13,   23.33,  279.51
    6.18,   23.33,  279.55
    6.22,   23.33,  279.59
    6.26,   23.33,  279.62
    6.30,   23.32,  279.66
    6.34,   23.32,  279.70
    6.38,   23.32,  279.74
    6.42,   23.32,  279.78
    6.46,   23.31,  279.81
    6.49,   23.31,  279.85
    6.53,   23.31,  279.89
    6.56,   23.31,  279.93
    6.59,   23.30,  279.96
    6.62,   23.30,  280.00
    6.65,   23.30,  280.04
    6.68,   23.30,  280.08
    6.70,   23.29,  280.11
    6.73,   23.29,  280.15
    6.75,   23.29,  280.19
    6.77,   23.28,  280.23
    6.79,   23.28,  280.27
    6.81,   23.28,  280.30
    6.82,   23.28,  280.34
    6.84,   23.27,  280.38
    6.85,   23.27,  280.42
    6.86,   23.27,  280.45
    6.87,   23.27,  280.49
    6.88,   23.26,  280.53
    6.89,   23.26,  280.57
    6.89,   23.26,  280.60
    6.90,   23.25,  280.64
    6.90,   23.25,  280.68
    6.90,   23.25,  280.72
    6.90,   23.24,  280.76
    6.90,   23.24,  280.79
    6.89,   23.24,  280.83
    6.89,   23.24,  280.87
    6.88,   23.23,  280.91
    6.87,   23.23,  280.94
    6.86,   23.23,  280.98
    6.85,   23.22,  281.02
    6.84,   23.22,  281.06
    6.82,   23.22,  281.09
    6.81,   23.21,  281.13
    6.79,   23.21,  281.17
    6.77,   23.21,  281.21
    6.75,   23.21,  281.24
    6.73,   23.20,  281.28
    6.71,   23.20,  281.32
    6.68,   23.20,  281.36
    6.66,   23.19,  281.40
    6.63,   23.19,  281.43
    6.60,   23.19,  281.47
    6.57,   23.18,  281.51
    6.54,   23.18,  281.55
